SeqNo,CreationTime,CreatorUserId,LastModificationTime,LastModifierUserId,Transfer,StdKey,StdId,StdName,StdNameEng,StdStatus,StdInnerKind,EntryYear,EntrySemester,EntryClassId,ClassId,Sex,Birthday,IdNo,BirthState,BirthCity,NationId,NativeGroup,ResidenceId,EntryStatus,EntryExam,EntryJobStatus,SpecialStatus,DegreeStatus,MillityId,EequalEdu,Tel,Email,Email2,CellPhone,PermanentZip,PermanentAddr,MailingZip,MailingAddr,BeforeGradSchool,BeforeGradYearMonth,BeforeGradDept,BeforeGradDocNo,BeforeEduCode,BeforeFreshGrad,ParentName,ParentJob,ParentRelation,ParentZip,ParentAddr,ParentTel,ParentCellPhone,GradDocNo,GradYearMonth,GradYear,GradSms,EntryExamNo,EntryCheckIn,EnrollType,EnrollSource,BankAccountNo,BankNo,BankName,BankId,BankOfficeId,BankAccount,BankAccountName,BankAccountRelation,Memo,UnitSection,ScoreLock,ScoreUnlockId,ScoreUnlockTime,EnglishPass,UpdateId,UpdateTime
11,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-11,ADFFFF,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-36,A,高雄,TW,??,NULL,11,03,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-36,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-12,QQQQ,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-39,A,高雄,TW,??,NULL,12,11,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-39,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-13,QWEWE,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-40,A,高雄,TW,??,NULL,13,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-40,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-14,CXC,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-42,A,高雄,TW,??,NULL,14,12,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-42,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,2020-10-04 20:36:45.3429764,1,2020-10-04 20:37:01.0656394,1,1,3,StdId-15,123321,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,900101,idno-47,A,高雄,TW,??,NULL,15,35,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,1,StdId-16,小華,小華_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-2,A,高雄,TW,??,NULL,01,13,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-17,學生A,學生A_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-3,A,高雄,TW,??,NULL,02,01,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-18,學生B,學生B_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-4,A,高雄,TW,??,NULL,03,09,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,2020-10-01 00:00:00.0000000,NULL,2020-10-04 18:57:49.2768709,1,1,3,StdId-19,學生C,學生D_English,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-5,A,高雄,TW,??,NULL,04,21,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,2020-10-01 00:00:00.0000000,NULL,2020-10-04 18:57:57.7392978,1,1,3,StdId-20,學生D,學生A_English,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-24,A,高雄,TW,??,NULL,05,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-21,XXXX,小明123_English,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-29,A,高雄,TW,??,NULL,06,11,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-29,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-22,小明123,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-32,A,高雄,TW,??,NULL,07,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-32,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-23,學生111,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-33,A,高雄,TW,??,NULL,08,03,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-33,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-24,SAGDSGSG,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-34,A,高雄,TW,??,NULL,09,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-34,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-25,ZCCZCZC,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-35,A,高雄,TW,??,NULL,10,01,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-35,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-26,ADFFFF,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-36,A,高雄,TW,??,NULL,11,03,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-36,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-27,QQQQ,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-39,A,高雄,TW,??,NULL,12,11,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-39,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,1,3,StdId-28,QWEWE,NULL,NULL,NULL,NULL,NULL,NULL,A001,0,900101,idno-40,A,高雄,TW,??,NULL,13,02,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-40,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,2020-10-01 00:00:00.0000000,NULL,NULL,NULL,0,3,StdId-29,CXC,NULL,NULL,NULL,NULL,NULL,NULL,A002,0,900101,idno-42,A,高雄,TW,??,NULL,14,12,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-42,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,2020-10-04 20:36:45.3429764,1,2020-10-04 20:37:01.0656394,1,1,3,StdId-30,123321,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,900101,idno-47,A,高雄,TW,??,NULL,15,35,NULL,NULL,NULL,NULL,NULL,NULL,123@nkust.edu.tw,NULL,090011223344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,大華,XXX,0,NULL,NULL,09123454645,NULL,NULL,NULL,NULL,NULL,ExamNo-47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
